x_original,nm,cm^-1,intensity
923.59,938.45,2078.68,27292.00
923.53,938.40,2078.08,27352.00
923.48,938.34,2077.48,27261.00
923.43,938.29,2076.88,34345.00
923.38,938.24,2076.28,32116.00
923.33,938.19,2075.67,32156.00
923.27,938.13,2075.07,26663.00
923.22,938.08,2074.47,35044.00
923.17,938.03,2073.86,29056.00
923.12,937.97,2073.26,25167.00
923.07,937.92,2072.66,28931.00
923.01,937.87,2072.06,28815.00
922.96,937.81,2071.45,26359.00
922.91,937.76,2070.85,32696.00
922.86,937.71,2070.25,30162.00
922.81,937.65,2069.64,30179.00
922.75,937.60,2069.04,33860.00
922.70,937.55,2068.44,30021.00
922.65,937.49,2067.83,30985.00
922.60,937.44,2067.23,32535.00
922.54,937.39,2066.62,31771.00
922.49,937.33,2066.02,32960.00
922.44,937.28,2065.42,30209.00
922.39,937.23,2064.81,28729.00
922.34,937.17,2064.21,29342.00
922.28,937.12,2063.61,28783.00
922.23,937.07,2063.00,28116.00
922.18,937.02,2062.40,30373.00
922.13,936.96,2061.79,27510.00
922.08,936.91,2061.19,27338.00
922.02,936.86,2060.58,32077.00
921.97,936.80,2059.98,29635.00
921.92,936.75,2059.38,25828.00
921.87,936.70,2058.77,27582.00
921.82,936.64,2058.17,29949.00
921.76,936.59,2057.56,29213.00
921.71,936.54,2056.96,26218.00
921.66,936.48,2056.35,30965.00
921.61,936.43,2055.75,29388.00
921.56,936.38,2055.14,27052.00
921.50,936.32,2054.54,34809.00
921.45,936.27,2053.93,27170.00
921.40,936.22,2053.33,30923.00
921.35,936.16,2052.72,26444.00
921.29,936.11,2052.12,24359.00
921.24,936.06,2051.51,29970.00
921.19,936.01,2050.91,30262.00
921.14,935.95,2050.30,25957.00
921.09,935.90,2049.69,27844.00
921.03,935.85,2049.09,32141.00
920.98,935.79,2048.48,34124.00
920.93,935.74,2047.88,33730.00
920.88,935.69,2047.27,33274.00
920.83,935.63,2046.67,31813.00
920.77,935.58,2046.06,29823.00
920.72,935.53,2045.45,29163.00
920.67,935.47,2044.85,30455.00
920.62,935.42,2044.24,26141.00
920.57,935.37,2043.64,28705.00
920.51,935.31,2043.03,25244.00
920.46,935.26,2042.42,30100.00
920.41,935.21,2041.82,32310.00
920.36,935.15,2041.21,34062.00
920.30,935.10,2040.60,30763.00
920.25,935.05,2040.00,27084.00
920.20,934.99,2039.39,29533.00
920.15,934.94,2038.78,33631.00
920.10,934.89,2038.18,31696.00
920.04,934.84,2037.57,30091.00
919.99,934.78,2036.96,24760.00
919.94,934.73,2036.35,32124.00
919.89,934.68,2035.75,36658.00
919.84,934.62,2035.14,33420.00
919.78,934.57,2034.53,30933.00
919.73,934.52,2033.93,30871.00
919.68,934.46,2033.32,26450.00
919.63,934.41,2032.71,31020.00
919.58,934.36,2032.10,27743.00
919.52,934.30,2031.50,31793.00
919.47,934.25,2030.89,29315.00
919.42,934.20,2030.28,33275.00
919.37,934.14,2029.67,32808.00
919.31,934.09,2029.06,33496.00
919.26,934.04,2028.46,27044.00
919.21,933.98,2027.85,33351.00
919.16,933.93,2027.24,26237.00
919.11,933.88,2026.63,29772.00
919.05,933.83,2026.02,28185.00
919.00,933.77,2025.42,30445.00
918.95,933.72,2024.81,34778.00
918.90,933.67,2024.20,29466.00
